iter	Passed	Remaining
0	113	113526
1	115	57544
2	117	38955
3	118	29597
4	120	23948
5	122	20217
6	124	17721
7	127	15754
8	129	14307
9	131	13027
10	133	11985
11	137	11280
12	140	10653
13	143	10106
14	148	9766
15	151	9288
16	152	8838
17	155	8484
18	156	8104
19	160	7843
20	165	7703
21	167	7424
22	168	7167
23	171	6958
24	174	6804
25	176	6593
26	178	6443
27	180	6277
28	182	6103
29	183	5949
30	185	5797
31	188	5705
32	190	5594
33	193	5500
34	196	5405
35	198	5307
36	200	5214
37	202	5136
38	205	5074
39	208	5007
40	210	4927
41	212	4843
42	213	4761
43	215	4686
44	217	4619
45	222	4606
46	224	4542
47	225	4480
48	227	4420
49	230	4378
50	232	4333
51	234	4279
52	236	4231
53	239	4192
54	240	4137
55	242	4085
56	243	4035
57	247	4018
58	249	3973
59	250	3927
60	252	3884
61	255	3858
62	256	3817
63	258	3773
64	259	3736
65	261	3700
66	266	3705
67	267	3669
68	269	3632
69	270	3594
70	272	3560
71	273	3526
72	277	3520
73	279	3498
74	281	3468
75	282	3439
76	284	3409
77	285	3379
78	287	3354
79	291	3351
80	293	3328
81	295	3303
82	296	3271
83	297	3245
84	299	3221
85	300	3198
86	302	3174
87	305	3162
88	307	3145
89	309	3125
90	311	3107
91	312	3084
92	315	3077
93	317	3059
94	319	3047
95	322	3033
96	323	3013
97	325	2993
98	326	2973
99	328	2955
100	330	2938
101	332	2927
102	334	2911
103	335	2893
104	337	2879
105	339	2862
106	340	2844
107	342	2826
108	343	2809
109	345	2794
110	349	2796
111	350	2781
112	352	2765
113	353	2750
114	355	2737
115	357	2723
116	358	2706
117	360	2692
118	364	2695
119	366	2686
120	372	2708
121	374	2698
122	380	2711
123	384	2714
124	386	2703
125	388	2694
126	390	2682
127	392	2676
128	394	2663
129	396	2651
130	398	2640
131	400	2636
132	402	2623
133	403	2610
134	405	2596
135	408	2595
136	410	2583
137	411	2571
138	413	2559
139	414	2547
140	416	2537
141	417	2521
142	418	2509
143	420	2497
144	422	2493
145	425	2486
146	426	2474
147	427	2463
148	429	2452
149	431	2442
150	433	2435
151	434	2426
152	438	2427
153	440	2417
154	441	2407
155	443	2398
156	444	2388
157	446	2378
158	447	2369
159	449	2360
160	452	2357
161	453	2348
162	455	2338
163	456	2328
164	458	2320
165	460	2314
166	462	2304
167	463	2296
168	466	2293
169	469	2290
170	470	2281
171	472	2272
172	473	2262
173	474	2252
174	476	2244
175	477	2234
176	478	2226
177	481	2221
178	483	2217
179	485	2211
180	486	2203
181	488	2195
182	490	2189
183	493	2187
184	496	2186
185	497	2178
186	503	2188
187	507	2190
188	509	2188
189	512	2186
190	514	2178
191	518	2183
192	521	2178
193	522	2171
194	524	2164
195	526	2161
196	528	2154
197	530	2148
198	532	2141
199	534	2137
200	536	2130
201	538	2127
202	541	2125
203	543	2121
204	545	2115
205	547	2109
206	548	2102
207	550	2096
208	552	2089
209	554	2085
210	559	2091
211	561	2086
212	563	2083
213	565	2077
214	567	2070
215	568	2064
216	570	2058
217	572	2052
218	574	2047
219	576	2042
220	577	2036
221	579	2030
222	581	2024
223	584	2023
224	586	2021
225	589	2017
226	591	2013
227	593	2008
228	595	2005
229	601	2012
230	603	2009
231	605	2005
232	607	1998
233	608	1992
234	609	1985
235	611	1978
236	613	1973
237	614	1968
238	616	1962
239	618	1957
240	620	1953
241	622	1949
242	624	1944
243	630	1953
244	632	1949
245	633	1942
246	635	1937
247	637	1932
248	638	1926
249	640	1920
250	644	1924
251	647	1920
252	649	1916
253	650	1911
254	654	1911
255	658	1914
256	660	1910
257	662	1905
258	664	1900
259	666	1895
260	669	1895
261	674	1901
262	676	1897
263	678	1892
264	684	1899
265	690	1906
266	692	1901
267	694	1895
268	695	1890
269	698	1888
270	700	1884
271	708	1894
272	709	1890
273	711	1886
274	714	1884
275	719	1888
276	721	1884
277	723	1879
278	726	1878
279	728	1873
280	729	1867
281	732	1865
282	735	1862
283	737	1859
284	749	1879
285	751	1875
286	752	1870
287	754	1865
288	756	1859
289	758	1857
290	760	1852
291	764	1852
292	766	1848
293	767	1843
294	769	1838
295	770	1833
296	772	1828
297	773	1823
298	775	1818
299	779	1818
300	781	1813
301	782	1808
302	784	1803
303	786	1799
304	787	1794
305	788	1789
306	790	1783
307	791	1778
308	792	1772
309	794	1767
310	795	1761
311	796	1756
312	797	1751
313	799	1746
314	801	1742
315	802	1736
316	805	1736
317	807	1732
318	809	1727
319	811	1723
320	813	1720
321	814	1715
322	816	1711
323	818	1706
324	821	1706
325	822	1701
326	824	1696
327	825	1692
328	827	1687
329	829	1683
330	830	1679
331	832	1674
332	835	1672
333	836	1668
334	838	1664
335	839	1659
336	841	1655
337	843	1652
338	845	1648
339	847	1644
340	852	1646
341	854	1643
342	856	1641
343	859	1638
344	861	1636
345	866	1637
346	874	1646
347	876	1642
348	877	1637
349	882	1638
350	884	1634
351	887	1633
352	892	1635
353	897	1638
354	899	1634
355	901	1631
356	903	1628
357	906	1625
358	908	1621
359	911	1620
360	914	1618
361	915	1614
362	917	1610
363	919	1605
364	923	1607
365	929	1610
366	931	1607
367	933	1603
368	935	1599
369	937	1595
370	938	1591
371	942	1591
372	944	1587
373	946	1583
374	948	1580
375	950	1576
376	951	1572
377	959	1578
378	961	1575
379	963	1572
380	966	1569
381	968	1566
382	972	1566
383	975	1564
384	979	1565
385	981	1561
386	985	1560
387	987	1557
388	989	1553
389	991	1551
390	994	1548
391	996	1545
392	998	1541
393	1004	1545
394	1007	1542
395	1009	1539
396	1011	1536
397	1013	1533
